name,brand,category,base_unit,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sugar_per_100g,sodium_per_100g,serving_name,serving_quantity,serving_unit
"Basmati Rice","India Gate","Grains","g",345,7.4,78,0.9,1.3,0.5,2,"1 cup cooked",158,"g"
"Whole Wheat Bread","Britannia","Grains","g",247,9.2,41.3,4.6,12.2,2.1,491,"1 slice",28,"g"
"Paneer","Amul","Dairy","g",296,18.3,1.2,25,0,1.2,18,"1 cube",30,"g"
"Greek Yogurt","Epigamia","Dairy","g",97,10,3.6,5.5,0,3.6,36,"1 cup",245,"g"
"Chicken Breast","","Meat","g",165,31,0,3.6,0,0,74,"3 oz serving",85,"g"
"Almonds","","Nuts","g",579,21.15,21.55,49.93,12.5,4.35,1,"1 oz",28,"g"
"Banana","","Fruits","g",89,1.09,22.84,0.33,2.6,12.23,1,"1 medium",118,"g"
"Spinach","","Vegetables","g",23,2.86,3.63,0.39,2.2,0.42,79,"1 cup fresh",30,"g"
"Milk Whole","Amul","Dairy","ml",42,3.15,4.8,3.25,0,4.8,40,"1 cup",240,"ml"
"Brown Rice","","Grains","g",370,7.9,77.2,2.9,3.5,0.7,5,"1 cup cooked",195,"g"
"Olive Oil","Figaro","Oils","Extra virgin olive oil","ml",884,0,0,100,0,0,2,"1 tablespoon",15,"ml"
